code,service_type,category,category_code,description_el,description_en
AET029,TREATMENT,2,AECAT2,"Φυσιοθεραπεία - επανεκπαίδευση βαδίσματος, πρόληψη πτώσεων","Physiotherapy - gait re-education, falls prevention"
AET030,TREATMENT,2,AECAT2,"Θεραπευτικό πλύσιμο οργάνου (πλύση), εμετός, ενεργός άνθρακας, πλύση οφθαλμού",Lavage/emesis/charcoal/eye irrigation
AET031,TREATMENT,2,AECAT2,Αναισθησία - τοπικό αναισθητικό,Anaesthesia - local anaesthetic
AET032,TREATMENT,2,AECAT2,Αναισθησία - περιοχική αναισθησία με αποκλεισμό,Anaesthesia - regional block
AET033,TREATMENT,2,AECAT2,Αναισθησία - entonox,Anaesthesia - entonox
AET034,TREATMENT,2,AECAT2,Αναισθησία - άλλο,Anaesthesia - other
AET035,TREATMENT,2,AECAT2,Τέτανος - σειρά εμβολιασμού,Tetanus - tetanus toxoid course
AET036,TREATMENT,2,AECAT2,Τέτανος - εμβόλιο επαναληπτικό,Tetanus - tetanus toxoid booster
AET037,TREATMENT,2,AECAT2,Τέτανος - ανθρώπινη ανοσοσφαιρίνη,Tetanus - human immunoglobulin
AET038,TREATMENT,2,AECAT2,Τέτανος - συνδυασμένο σχήμα εμβολιασμού τέτανου/διφθερίτιδας,Tetanus - combined tetanus/diphtheria course
AET039,TREATMENT,2,AECAT2,Τέτανος -  επαναληπτικό εμβόλιο τέτανου/διφθερίτιδας,Tetanus - combined tetanus/diphtheria booster
AET040,TREATMENT,2,AECAT2,Έλεγχος επίσταξης,Epistaxis control
AET041,TREATMENT,2,AECAT2,Ρινικός αεραγωγός,Nasal airway
AET042,TREATMENT,2,AECAT2,Στοματικός αεραγωγός,Oral airway
AET043,TREATMENT,2,AECAT2,Έγχυση υγρών,Infusion fluids
AET044,TREATMENT,2,AECAT2,Χορηγήθηκε φάρμακο - από το στόμα,Medication administered - oral
AET045,TREATMENT,2,AECAT2,Χορηγήθηκε φάρμακο- από το ορθό,Medication administered - per rectum
AET046,TREATMENT,2,AECAT2,Χορηγήθηκε φάρμακο- ενδορινικά,Medication administered - intra-nasal
AET047,TREATMENT,3,AECAT3,Αλλαγή πληγής μεγάλου τραύματος/ εγκαύματος,Dressing major wound/burn
AET048,TREATMENT,3,AECAT3,Πρωτογενής συρραφή,Primary sutures
AET049,TREATMENT,3,AECAT3,Δευτερογενής/σύνθετη συρραφή,Secondary/complex suture
AET050,TREATMENT,3,AECAT3,Αφαίρεση ξένου σώματος,Removal foreign body
AET051,TREATMENT,3,AECAT3,Τομή και παροχέτευση,Incision & drainage
AET052,TREATMENT,3,AECAT3,Κεντρική γραμμή,Central line
AET053,TREATMENT,3,AECAT3,Καθετήρας ουροδόχου κύστεως/ υπερηβικός,Urinary catheter/suprapubic
AET054,TREATMENT,3,AECAT3,Mικρό Χειρουργείο,Minor surgery
AET055,TREATMENT,3,AECAT3,Αναισθησία - νάρκωση,Anaesthesia - sedation
AET056,TREATMENT,3,AECAT3,Νεφελοποιητής/ αεροθάλαμος,Nebuliser/spacer
AET057,TREATMENT,3,AECAT3,Συμπληρωματικό Οξυγόνο,Supplemental oxygen
AET058,TREATMENT,3,AECAT3,Συνεχής θετική πίεση των αεραγωγών/ρινική διακοπτόμενη θετική πίεση παροχής αέρα/χειροκίνητη μάσκα παροχής θετικής πίεσης αερισμού,Continuous positive airways pressure/nasal intermittent positive pressure ventilation/bag valve mask
AET059,TREATMENT,3,AECAT3,Αρτηριακή γραμμή,Arterial line
AET060,TREATMENT,3,AECAT3,Αναρρόφηση από άρθρωση,Joint aspiration
AET061,TREATMENT,3,AECAT3,Ενεργή επαναθέρμανση υποθερμικού ασθενούς,Active rewarming of the hypothermic patient
AET062,TREATMENT,3,AECAT3,Χορηγήθηκε φάρμακο - ενδομυϊκά,Medication administered - intra-muscular
AET063,TREATMENT,3,AECAT3,Χορηγήθηκε φάρμακο - υποδόρια,Medication administered - subcutaneous
AET064,TREATMENT,3,AECAT3,Χορηγήθηκε φάρμακο - υπογλώσσια,Medication administered - sublingual
AET065,TREATMENT,3,AECAT3,Εργασιοθεραπεία - λειτουργική αξιολόγηση εργασιοθεραπείας,Occupational Therapy - OT functional assessment
AET066,TREATMENT,3,AECAT3,Παρέμβαση Κοινωνικού Λειτουργού,Social work intervention
AET067,TREATMENT,3,AECAT3,Οφθαλμός - Οπισθοβολβική ένεση,Eye - retrobulbar injection
AET068,TREATMENT,3,AECAT3,Οφθαλμός - αφαίρεση βλεφαρίδων,Eye - epilation of lashes
AET069,TREATMENT,4,AECAT4,Ορθοθέτηση κατάγματος άνω άκρου,Manipulation of upper limb fracture
AET070,TREATMENT,4,AECAT4,Ορθοθέτηση κατάγματος κάτω άκρου,Manipulation of lower limb fracture
AET071,TREATMENT,4,AECAT4,Ορθοθέτηση εξάρθρωσης,Manipulation of dislocation
AET072,TREATMENT,4,AECAT4,Διασωλήνωση & ενδοτραχειακοί σωλήνες/ λαρυγγική μάσκα αεραγωγών/ταχεία εισαγωγή,Intubation & Endotracheal tubes/laryngeal mask airways/rapid sequence induction
AET073,TREATMENT,4,AECAT4,Πνευμονική Παροχέτευση,Chest drain
AET074,TREATMENT,4,AECAT4,Απινίδωση,Defibrillation
AET075,TREATMENT,4,AECAT4,Εξωτερική βηματοδότηση,External pacing
AET076,TREATMENT,4,AECAT4,Αναισθησία - γενική,Anaesthesia - general anaesthetic
AET077,TREATMENT,4,AECAT4,Παρεντερική θρομβόλυση - με στρεπτοκινάση,Parenteral thrombolysis - streptokinase parenteral thrombolysis
AET078,TREATMENT,4,AECAT4,"Άλλα παρεντερικά φάρμακα - ενδοφλέβιο φάρμακο, π.χ εφάπαξ","Other Parenteral drugs - intravenous drug, e.g. stat/bolus"
AET079,TREATMENT,4,AECAT4,Άλλα παρεντερικά φάρμακα - ενδοφλέβια έγχυση,Other Parenteral drugs - intravenous infusion
AET080,TREATMENT,4,AECAT4,Μετάγγιση παραγώγων αίματος,Blood product transfusion
AET081,TREATMENT,4,AECAT4,Περικαρδιοκέντηση,Pericardiocentesis
AET082,TREATMENT,4,AECAT4,Οσφυονωτιαία παρακέντηση,Lumbar puncture
AET083,TREATMENT,4,AECAT4,Ελάσσον πλαστική επέμβαση/ διάσπαση δερματικού μοσχεύματος,Minor plastic procedure/split skin graft
AET084,TREATMENT,4,AECAT4,Οφθαλμός- ένεση κάτω από τον επιπεφυκότα,Eye - subconjunctival injection
AET085,TREATMENT,5,AECAT5,Αναζωογόνηση/  Καρδιοπνευμονική αναζωογόνηση,Resuscitation/cardiopulmonary resuscitation
AET086,TREATMENT,5,AECAT5,Παρεντερική θρομβόλυση - γενετικά ανασυνδιασμένο -ενεργοποιητή του πλασμινογόνου,Parenteral thrombolysis - recombinant - plasminogen activator
AET087,TREATMENT,5,AECAT5,Οφθαλμός - λέϊζερ αμφιβληστροειδή χιτώνα/ίριδας ή οπίσθια κάψα,Eye - laser of retina/iris or posterior capsule
AET088,TREATMENT,5,AECAT5,Χορήγηση Αντιοφικού ορρού,Antisnake Venom Injection
AET089,TREATMENT,2,AECAT2,Αλλαγή τραχειοσωλήνα,Change of Tracheostomy tube
AET090,TREATMENT,2,AECAT2,Αλλαγή σωλήνα γαστροστομίας,Change of Gastrostomy tube
AET091,TREATMENT,1,AECAT1,Αναρρόφηση εκκρίσεων,Suction of secretions
AET092,TREATMENT,2,AECAT2,Τοποθέτηση Ρινογαστρικού Σωλήνα,Nasogastric intubation
AET093,TREATMENT,2,AECAT2,Τοποθέτηση Αυχενικού Κολλάρου/Σανίδας ακινητοποίησης,Cervical Collar/Spinal board Placement
AET094,TREATMENT,2,AECAT2,Δακτυλική εξέταση,Digital Rectal Examination
AET095,TREATMENT,1,AECAT1,Χορηγήθηκε φάρμακο - Οφθαλμική αλοιφή,Medication administered - eye ointment
AET096,TREATMENT,3,AECAT3,Ανάταξη βουβωνοκήλης,Inguinal hernia reduction
AET097,TREATMENT,1,AECAT1,Χορήγηση πεθιδίνης,Administration of pethidine
AET098,TREATMENT,2,AECAT2,Αφαίρεση Ουροκαθετήρα,Removal of urinary catheter
