code,parent_code,group_el,description_el,tier_label_el,price_type,base_amount,hourly_amount,price_raw,load_status,source
SHSO-ER16-C,SHSO-ER16,ΟΦΘΑΛΜΟΛΟΓΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,"Θεραπευτικό πλύσιμο οργάνου (πλύση), πλύση οφθαλμού / 3 ώρες  / Παρουσία οφθαλμιάτρου — Παρουσία οφθαλμιάτρου",Παρουσία οφθαλμιάτρου,fixed_plus_consumables,200.00,,50 € / 120 €  / 200 € / συν αναλώσιμα,SPLIT,Μονάδα Ελέγχου Εσόδων 23/09/2026
SHSO-ER18,,ΟΦΘΑΛΜΟΛΟΓΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Οφθαλμός- ένεση κάτω από τον επιπεφυκότα,,fixed,20.00,,20,OK,
SHSO-ER19,,ΟΡΘΟΠΕΔΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Αφαίρεση γύψου,,fixed,25.00,,25,OK,
SHSO-ER20,,ΟΡΘΟΠΕΔΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Επίδεση/υποστήριξη,,fixed,10.00,,10,OK,
SHSO-ER21,,ΟΡΘΟΠΕΔΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Εφαρμογή γύψου Paris,,fixed,46.00,,46,OK,
SHSO-ER22,,ΟΡΘΟΠΕΔΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,"Ιμάντας/ κολλάρο ανάρτησης χειρός, ευρύς επίδεσμος ανάρτησης ώμου",,fixed,10.00,,10,OK,
SHSO-ER23,,ΟΡΘΟΠΕΔΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Νάρθηκας,,fixed,40.00,,40,OK,
SHSO-ER24,,ΟΡΘΟΠΕΔΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Ορθοθέτηση εξάρθρωσης,,fixed,105.00,,105,OK,
SHSO-ER25,,ΟΡΘΟΠΕΔΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Ορθοθέτηση κατάγματος άνω άκρου,,fixed,130.00,,130,OK,
SHSO-ER26,,ΟΡΘΟΠΕΔΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Ορθοθέτηση κατάγματος κάτω άκρου,,fixed,130.00,,130,OK,
SHSO-ER27,,ΟΡΘΟΠΕΔΙΚΕΣ ΠΑΡΕΜΒΑΣΕΙΣ,Αναρρόφηση από άρθρωση,,fixed,30.00,,30,OK,
SHSO-ER28,,ΑΝΑΙΣΘΗΣΙΑ,Αναισθησία - τοπικό αναισθητικό,,fixed,30.00,,30,OK,
SHSO-ER29,,ΕΜΒΟΛΙΑΣΜΟΣ,Τέτανος,,fixed,5.00,,5,OK,
SHSO-ER30,,ΕΜΒΟΛΙΑΣΜΟΣ,Τέτανος - ανθρώπινη ανοσοσφαιρίνη,,fixed,60.00,,60,OK,
SHSO-ER31,,ΤΟΠΟΘΕΤΗΣΗ ΓΡΑΜΜΩΝ/ΚΑΘΕΤΗΡΩΝ,Κεντρική γραμμή,,fixed,1000.00,,1000,OK,
SHSO-ER32,,ΤΟΠΟΘΕΤΗΣΗ ΓΡΑΜΜΩΝ/ΚΑΘΕΤΗΡΩΝ,Αρτηριακή γραμμή,,fixed,200.00,,200,OK,
SHSO-ER33,,ΤΟΠΟΘΕΤΗΣΗ ΓΡΑΜΜΩΝ/ΚΑΘΕΤΗΡΩΝ,Καθετήρας ουροδόχου κύστεως/ υπερηβικός,,fixed,45.00,,45,OK,
